,quality_score,Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Processing Method,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Moisture,Category One Defects,Category Two Defects,Temperature (F)
71,82.33,Brazil,8.25,7.83,7.25,8.33,Natural / Dry,8.17,8.08,10.0,6.67,10.0,7.75,0.07,0,0,77.90873346153846
72,82.33,Brazil,7.42,7.5,7.5,7.42,Natural / Dry,7.5,7.58,10.0,10.0,10.0,7.42,0.11,0,10,77.90873346153846
73,82.33,Brazil,7.75,8.08,7.67,8.08,Natural / Dry,8.08,8.0,10.0,10.0,6.67,8.0,0.11,0,0,77.90873346153846
74,82.33,Brazil,7.58,7.5,7.42,7.5,Natural / Dry,7.5,7.42,10.0,10.0,10.0,7.42,0.12,0,2,77.90873346153846
75,82.33,Brazil,7.58,7.58,7.25,7.58,Washed / Wet,7.42,7.5,10.0,10.0,10.0,7.42,0.11,0,2,77.90873346153846
76,82.25,Brazil,7.58,7.5,7.25,7.42,Washed / Wet,7.67,7.33,10.0,10.0,10.0,7.5,0.09,2,10,77.90873346153846
77,82.25,Brazil,7.42,7.67,7.5,7.08,Natural / Dry,7.5,7.42,10.0,10.0,10.0,7.67,0.0,0,9,77.90873346153846
78,82.25,Brazil,7.75,7.58,7.42,7.42,Natural / Dry,7.33,7.33,10.0,10.0,10.0,7.42,0.11,0,0,77.90873346153846
79,82.25,Brazil,7.67,7.58,7.42,7.0,Natural / Dry,7.5,7.58,10.0,10.0,10.0,7.5,0.12,0,1,77.90873346153846
80,82.17,Brazil,7.42,7.42,7.5,7.42,Natural / Dry,7.42,7.5,10.0,10.0,10.0,7.5,0.11,0,5,77.90873346153846
81,82.17,Brazil,6.92,7.58,7.42,7.33,Natural / Dry,7.83,7.5,10.0,10.0,10.0,7.58,0.0,0,1,77.90873346153846
82,82.17,Brazil,7.58,7.5,7.42,7.25,Natural / Dry,7.5,7.42,10.0,10.0,10.0,7.5,0.12,0,1,77.90873346153846
83,82.08,Brazil,7.42,7.58,7.42,7.5,Natural / Dry,7.42,7.25,10.0,10.0,10.0,7.5,0.11,0,3,77.90873346153846
84,82.08,Brazil,7.25,7.25,7.58,7.58,Natural / Dry,7.25,7.92,10.0,10.0,10.0,7.25,0.0,0,1,77.90873346153846
85,82.0,Brazil,7.5,7.33,7.42,7.5,Natural / Dry,7.33,7.42,10.0,10.0,10.0,7.5,0.11,0,3,77.90873346153846
86,82.0,Brazil,7.33,7.67,7.42,7.17,Natural / Dry,7.33,7.42,10.0,10.0,10.0,7.67,0.11,0,0,77.90873346153846
87,82.0,Brazil,7.42,7.5,7.33,7.5,Natural / Dry,7.33,7.5,10.0,10.0,10.0,7.42,0.12,0,1,77.90873346153846
88,82.0,Brazil,7.42,7.5,7.25,7.5,Semi-washed / Semi-pulped,7.5,7.42,10.0,10.0,10.0,7.42,0.11,0,1,77.90873346153846
89,82.0,Brazil,7.58,7.5,7.17,7.5,Semi-washed / Semi-pulped,7.5,7.42,10.0,10.0,10.0,7.33,0.12,0,2,77.90873346153846
90,81.92,Brazil,7.42,7.33,7.33,7.5,Natural / Dry,7.5,7.33,10.0,10.0,10.0,7.5,0.11,0,4,77.90873346153846
91,81.92,Brazil,7.42,7.58,7.25,7.5,Natural / Dry,7.33,7.5,10.0,10.0,10.0,7.33,0.12,0,3,77.90873346153846
92,81.83,Brazil,7.42,7.5,7.42,7.5,Natural / Dry,7.42,7.25,10.0,10.0,10.0,7.33,0.11,0,3,77.90873346153846
93,81.83,Brazil,7.17,7.58,6.83,7.5,Natural / Dry,7.75,7.25,10.0,10.0,10.0,7.75,0.0,0,1,77.90873346153846
94,81.83,Brazil,7.58,7.0,6.92,6.92,Natural / Dry,7.67,7.5,10.0,10.0,10.0,8.25,0.0,0,0,77.90873346153846
95,81.83,Brazil,7.33,7.58,7.25,7.17,Natural / Dry,7.83,7.33,10.0,10.0,10.0,7.33,0.11,0,0,77.90873346153846
